Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost,Category
Zoom Around Panoramic Barcelona,4.92,180.0,Barcelona,Spain,75, English German and Dutch,16,30.0,49.0,Great4Groups
Reveal Awesome Street Art In Athens with a local expert,4.98,664.0,Athens,Greece,60, English,9,100.0,47.0,Great4Groups
Wintertide Meditation with Sleepy Sheep,4.98,724.0,Stirling,United Kingdom,60, English,20,100.0,275.0,Great4Groups
Fun and Games with Drag Queens in Spain,5.0,14.0,Madrid,Spain,60, English,30,30.0,552.0,Great4Groups
Explore Astronomy with an Astrophysicist,5.0,2.0,Blue Mountains,Australia,75, English and French,23,30.0,223.0,Great4Groups
Meet My Bees,5.0,282.0,Lisbon,Portugal,60, English and Portuguese,32,100.0,314.0,Great4Groups
The Fascinating World of Primates,5.0,40.0,Munich,Germany,60, English,13,30.0,64.0,Great4Groups
Improv Fun & Games with an Emmy TV-Host,4.89,38.0,Santa Barbara,United States,60, English,40,30.0,799.0,Great4Groups
Hands-on Collage Art Holidays Edition,5.0,205.0,Barcelona,Spain,90, English and Spanish,26,100.0,93.0,Great4Groups
"Tiramisù, ice cream & sorbet, all secrets",4.97,134.0,Milano,Italy,75, English and Italian,30,30.0,117.0,Great4Groups
Get Inside Tokyo Anime & Subcultures,4.96,167.0,Tokyo,Japan,60, English and Japanese,27,30.0,395.0,Great4Groups
De-stress & Re-energise with Qigong,4.98,54.0,,Australia,60, English,15,500.0,371.0,Great4Groups
Bizarre Food Kingdom,5.0,11.0,Beijing,China,60, English,16,10.0,125.0,Great4Groups
Relax Heal & Meditate with Sound Bowls,4.91,94.0,Joshua Tree,United States,45, English,25,30.0,199.0,Great4Groups
"Colombian History, Culture & Escobar",4.96,218.0,Medellin,Colombia,60, English,15,30.0,67.0,Great4Groups
Live Virtual Bike Ride from Paris,4.33,3.0,Paris,France,60, English,81,100.0,289.0,Great4Groups
Amazing World of Japanese Fake Food,5.0,4.0,Osaka City,Japan,60, English,9,100.0,71.0,Great4Groups
New habits for the new year and have a better life,5.0,22.0,Playa del Carmen,Mexico,60, English and Spanish,22,100.0,147.0,Great4Groups
The Art of Turkish Breakfast with Burak,4.97,192.0,Istanbul,Turkey,90, English,14,100.0,222.0,Great4Groups
Bread and Moroccan Treats Made Easy,4.97,36.0,Marrakech,Morocco,60, 5 languages,16,30.0,14.0,Great4Groups
Secrets of Queen’s Gambit & Wine,5.0,139.0,Lisboa,Portugal,60, English Spanish French and Portuguese,20,100.0,291.0,Great4Groups
Mindfulness Tea Ceremony,5.0,135.0,Osaka City,Japan,75, English,18,30.0,97.0,Great4Groups
Create a Portrait of a Pet with Collage,4.96,111.0,Barcelona,Spain,90, English and Spanish,19,30.0,175.0,Great4Groups
World Wonder-Bucket List Great Wall,4.95,191.0,Beijing,China,45, English and Chinese Simplified,19,30.0,389.0,Great4Groups
Build Mental Resilience with Olympian Lina Taylor,5.0,10.0,,United States,60, English,16,500.0,597.0,Great4Groups
Drag Queen Bingo Live from Madrid,4.87,355.0,Madrid,Spain,90, English and Spanish,34,30.0,668.0,Great4Groups
The Zen Art of Rock Balancing,4.98,50.0,San Francisco,United States,60, English,35,500.0,349.0,Great4Groups
Learn how to saber a bottle of Champagne,4.98,139.0,Epernay,France,60, French and English,12,30.0,47.0,Great4Groups
"Happiness meditation, end-of-year special edition",4.95,464.0,Playa del Carmen,Mexico,60, English and Spanish,15,500.0,147.0,Great4Groups
Dive into Japanese Holly Mountains,5.0,1.0,Osaka City,Japan,60, English,9,100.0,53.0,Great4Groups
Golden Milk / Turmeric Latte -Master Class (Vegan Friendly),5.0,4.0,Jaipur,India,30, English,10,501.0,101.0,Great4Groups
Savoury French Crepes and Bechamel sauce,4.99,71.0,Paris,France,75, English,17,100.0,175.0,Great4Groups
Amazing Panda Park Adventure,4.83,12.0,Chengdu,China,60, English Chinese Simplified and Chinese Traditional,17,30.0,156.0,Great4Groups
"Saints & Sinners, The Awesome Irish Game",5.0,19.0,Dublin,Ireland,60, English,18,100.0,209.0,Great4Groups
Gold Medal HIIT with Kat Copeland,5.0,78.0,,United Kingdom,75, English,21,100.0,481.0,Great4Groups
Turn Butter into Ghee with Dancing Chef,5.0,10.0,Berlin,Germany,60, English,16,100.0,117.0,Great4Groups
Cultivating an Olympian Mindset for Everyday Life,4.92,36.0,,Malaysia,60, English,64,500.0,482.0,Great4Groups
"Virtual Vesuvius Vulcan hike, Naples area",5.0,14.0,Ottaviano,Italy,60, 11 languages,23,30.0,173.0,Great4Groups
Become a Ramen Expert,4.98,148.0,Shibuya City,Japan,75, English,13,30.0,88.0,Great4Groups
How to Paint with Red Wine,4.95,218.0,Barcelona,Spain,60, English Spanish Romanian and Russian,14,30.0,59.0,Great4Groups
How to make Limoncello - Amalfi coast,5.0,13.0,Cava de' Tirreni,Italy,60, 10 languages,46,30.0,115.0,Great4Groups
Porcini Risotto cooking class with Enzo,5.0,10.0,Cava de' Tirreni,Italy,60, 11 languages,27,30.0,115.0,Great4Groups
Georgia- discover the birthplace of wine,4.99,105.0,Gremi Village,Georgia,75, English,14,100.0,125.0,Great4Groups
Fun & Games Improv Class for Beginners,4.98,205.0,Mexico City,Mexico,90, English and Spanish,21,30.0,49.0,Great4Groups
Learn about Brazilian Little Africa,4.97,111.0,Rio de Janeiro,Brazil,90, Portuguese and English,10,100.0,92.0,Great4Groups
Holiday Retreat - Sun Yoga & Music hour for the overworked,5.0,16.0,Delhi,India,60, English and Hindi,17,100.0,81.0,Great4Groups
Learn about Madrid with insider tips,4.94,140.0,Madrid,Spain,60, English,10,30.0,148.0,Great4Groups
The Thai Pantry,4.95,123.0,Chiang Mai,Thailand,75, English and Thai,19,30.0,44.0,Great4Groups
Talk less and Sign more,4.96,84.0,Montreal,Canada,75, English and French,21,30.0,21.0,Great4Groups
AirD&D Theater of the Mind,5.0,38.0,Vancouver,Canada,120, English,16,12.0,61.0,Great4Groups
Japanese Samurai Town History Walk,4.96,71.0,Chigasaki City,Japan,45, English,18,100.0,88.0,Great4Groups
Restorative Contact for Pairs & Groups,4.99,134.0,New York,United States,90, English,38,100.0,97.0,Great4Groups
"Cello Meditation Concert, end-of-year edition",4.98,730.0,Amsterdam,Netherlands,60, English,26,500.0,639.0,Great4Groups
Drinks and Drawing with a Drag Queen,5.0,6.0,Sydney,Australia,90, English,26,20.0,371.0,Great4Groups
Virtual Visit to an Animal Sanctuary,4.89,297.0,Sonoma,United States,60, English,15,30.0,150.0,Great4Groups
Let's Make Chilean Empanadas Together,4.98,184.0,Santiago,Chile,120, Spanish and English,22,500.0,66.0,Great4Groups
Make Hand-Pulled Noodles (Vegan Friendly),5.0,745.0,Shanghai,China,175, English and Chinese Simplified,28,100.0,249.0,Great4Groups
Discover Milan / Virtual Visit & Trivia,5.0,5.0,Milano,Italy,75, English,12,100.0,64.0,Great4Groups
A Walk Among 1200 Sacred Statues in Kyoto,4.97,330.0,Kyoto,Japan,90, English,19,100.0,92.0,Great4Groups
Tapas and Sangria Master Class,4.0,2.0,Arroyo de La Miel,Spain,90, English and Spanish,34,30.0,82.0,Great4Groups
Medellin: From violence to innovation,4.96,196.0,Medellin,Colombia,90, Spanish and English,19,30.0,133.0,Great4Groups
Embracing a moment of SlowLife,4.98,388.0,Florence,Italy,90, 5 languages,25,30.0,291.0,Great4Groups
The Barcelona Espadrilles Workshop,4.99,371.0,Barcelona,Spain,60, English,111,500.0,581.0,Great4Groups
Delicious Korean Recipes-Kimchi tofu etc,4.98,96.0,Seoul,South Korea,75, English,17,30.0,47.0,Great4Groups
Simple Quiche Recipe with a French chef,4.99,77.0,Nice,France,60, English and French,14,30.0,140.0,Great4Groups
"Tokyo Online Tour All in One! For happy hour event, or preparation for the trip!",4.94,635.0,Taito city,Japan,60, English,16,100.0,44.0,Great4Groups
Sweet Treats and Sleight of Hand,4.98,117.0,Johannesburg,South Africa,60, English,18,30.0,335.0,Great4Groups
Gazpacho & Sangria with a Top Chef,5.0,1.0,Barcelona,Spain,90, English,35,100.0,349.0,Great4Groups
Relaxing & self soothing Meditation w/Mexican Healer,4.93,27.0,Oaxaca City,Mexico,60, Spanish and English,34,30.0,171.0,Great4Groups
Create Mexican Stories with Art,4.97,225.0,Mexico City,Mexico,60, English and Spanish,12,30.0,42.0,Great4Groups
Virtual Mt Fuji Climbing - English,4.91,146.0,Fujiyoshida,Japan,90, English,15,100.0,92.0,Great4Groups
Spanish Tapas Like My Grandma Used to Make,4.88,216.0,Malaga,Spain,90, English and Spanish,20,30.0,140.0,Great4Groups
"Tamales Fiesta, from a Mexican Chef",4.99,142.0,Mexico City,Mexico,120, English and Spanish,32,30.0,293.0,Great4Groups
World Champion Tiramisu and funny Italian gestures,4.99,560.0,Olgiate Comasco,Italy,60, English,24,100.0,209.0,Great4Groups
The Local Indian Cuisines | Street Food,5.0,30.0,Jaipur,India,60, English,19,30.0,101.0,Great4Groups
Highlights of the Old Town in Munich,5.0,4.0,Munich,Germany,90, English and German,12,30.0,209.0,Great4Groups
Mexican traditional celebrations of end-of-year,4.94,54.0,Playa del Carmen,Mexico,60, English and Spanish,13,100.0,74.0,Great4Groups
Improv at Work,5.0,5.0,San Francisco,United States,60, English,40,30.0,800.0,Great4Groups
A musical journey to Italy with folk songs for Halloween!,4.98,179.0,Rome,Italy,60, English and Italian,24,100.0,209.0,Great4Groups
Secrets of Bossa Nova,4.92,162.0,Rio de Janeiro,Brazil,90, English Spanish and Portuguese,12,100.0,110.0,Great4Groups
Latin America Through its Exotic Fruits,4.95,104.0,Bogota,Colombia,60, English and Spanish,14,100.0,27.0,Great4Groups
Discover Sicily and its street food,4.94,68.0,Cefalu,Italy,90, English Spanish French and Italian,14,100.0,70.0,Great4Groups
Season celebrations with LGBTQ history & drag performances,4.92,65.0,London,United Kingdom,60, English and French,25,100.0,481.0,Great4Groups
Cook Pad Thai like a Real Thai,4.95,271.0,San Francisco,United States,60, English and Thai,32,30.0,320.0,Great4Groups
"Uruguayan music, adventures and Candombe",5.0,42.0,Montevideo,Uruguay,60, Spanish and English,12,30.0,19.0,Great4Groups
Izakaya & Sake Culture with a Sommelier,4.98,122.0,Tokyo,Japan,60, English,14,30.0,79.0,Great4Groups
Portuguese Tapas Class,4.97,461.0,Lisboa,Portugal,90, English Spanish and Portuguese,30,100.0,198.0,Great4Groups
Drink and Draw,4.96,674.0,Lisbon,Portugal,90, English,19,50.0,99.0,Great4Groups
The Wonder That Is The Taj Mahal & The Moguls,4.97,235.0,Bengaluru,India,60, English,13,100.0,127.0,Great4Groups
Barcelona Storytelling w/ Craft,4.98,160.0,Barcelona,Spain,60, English Catalan and Spanish,12,15.0,151.0,Great4Groups
Wine Tasting Demystified - Taste Wine with a Pro Sommelier,4.97,136.0,Troodos,Cyprus,60, English and Greek,15,30.0,117.0,Great4Groups
Paella and Sangria Master Class,4.83,6.0,Arroyo de La Miel,Spain,90, Spanish and English,34,30.0,82.0,Great4Groups
Laughter for Wellbeing,4.95,79.0,London,United Kingdom,60, English,29,30.0,412.0,Great4Groups
Team building - Quiz challenge in Italy,5.0,7.0,Cefalu,Italy,90, English Spanish French and Italian,10,30.0,59.0,Great4Groups
Authentic Apple Crepe with a French chef,4.97,397.0,Nice,France,60, English and French,14,30.0,140.0,Great4Groups
Sake Secrets from Japan's Oldest Brewery,4.97,602.0,Tokyo,Japan,60, Japanese and English,10,100.0,114.0,Great4Groups
Fitness & healthy Asian Fusion Recipes,5.0,39.0,Paris,France,90, English and French,17,100.0,175.0,Great4Groups
Prepare a Sicilian Dessert almond pudding from scratch,5.0,42.0,Noto,Italy,90, English and Italian,19,30.0,209.0,Great4Groups
Russian cultural capital's history&life,4.95,115.0,Saint Petersburg,Russia,60, English,15,30.0,71.0,Great4Groups
Italian Spiced Wines of the Past with an Archaeologist,4.97,623.0,Napoli,Italy,60, Italian and English,18,100.0,117.0,Great4Groups
Quito Virtual Guide & Traditions,4.96,91.0,Quito,Ecuador,90, English and Spanish,10,30.0,200.0,Great4Groups
Piano Meditation Concert from Paris,4.98,387.0,Paris,France,60, English German and French,14,10.0,175.0,Great4Groups
Discover and cook ingredients from ancient Aztec Cuisine,4.99,253.0,Mexico City,Mexico,90, Spanish German and English,26,100.0,252.0,Great4Groups
French sweet and savory crepes dinner,5.0,80.0,Paris,France,90, English,20,100.0,198.0,Great4Groups
Find Purpose and Meaning in the New Year-Draw a Treasure Map,4.98,49.0,Alexandria,United States,75, English,39,30.0,99.0,Great4Groups
Miami-Cuban Cocktails For Private Groups,4.96,257.0,Miami,United States,45, English,16,100.0,160.0,Great4Groups
Crepes & Hazelnut spread by Notre-Dame,4.98,158.0,Paris,France,90, English and French,17,100.0,175.0,Great4Groups
Improvised Stories of the World Concert,5.0,71.0,Singapore,Singapore,90, English,38,30.0,297.0,Great4Groups
Play with art at Louvre museum,4.95,214.0,Paris,France,60, English and French,18,30.0,70.0,Great4Groups
Zen Eating to Enrich Everyday Life,4.99,209.0,Tokyo,Japan,60, English and Japanese,219,100.0,771.0,Great4Groups
Intuitive Writing Workshop - Hollywood,4.95,143.0,Los Angeles,United States,60, English,29,100.0,65.0,Great4Groups
QuizzZItaly Italian Food Fun Trivia Game,5.0,12.0,Milano,Italy,75, English,12,100.0,64.0,Great4Groups
Gaudís masterpieces & mosaic technique,4.86,44.0,Barcelona ,Spain,60, English German and Spanish,18,30.0,59.0,Great4Groups
"Daily Life in Kobe, A Small Fishing Town",4.97,114.0,Kobe,Japan,75, English,16,30.0,141.0,Great4Groups
Sprinting through stress with Veronica,4.94,31.0,,Jamaica,60, English,28,100.0,280.0,Great4Groups
Tiny_Theatre presents A Mystery Game,4.98,42.0,Fort Myers,United States,75, English,20,100.0,300.0,Great4Groups
Nashville Concert w/ Emmy Nominated host,4.96,73.0,Nashville,United States,60, English,16,500.0,290.0,Great4Groups
The Great Pasta Journey,4.99,318.0,Milano,Italy,175, English,30,98.0,244.0,Great4Groups
Holiday Concert from Iceland,4.95,258.0,Reykjavik,Iceland,60, 6 languages,25,100.0,500.0,Great4Groups
The Ultimate Game Night on Zoom - Party Special,4.94,87.0,New Delhi,India,60, English and Hindi,17,500.0,101.0,Great4Groups
Discover Northern Italy-Gems & Diversity,4.99,94.0,Milano,Italy,75, English,16,100.0,76.0,Great4Groups
Learn about blind football with Keryn,5.0,3.0,,United Kingdom,60, English,33,30.0,32.0,Great4Groups
Fresh ravioli & chocolate tiramisu',4.92,37.0,Milano,Italy,75, English and Italian,30,30.0,175.0,Great4Groups
QuizzZItaly Fun Trivia Game about Italy,5.0,41.0,Milano,Italy,75, English,12,100.0,64.0,Great4Groups
Millennial & sustainable recipe Portugal,4.98,123.0,Barcarena,Portugal,90, English Spanish and Portuguese,21,100.0,111.0,Great4Groups
Team building with Kat'sYoga Brunch Club,4.98,56.0,Barcelona,Spain,45, English and Spanish,26,30.0,26.0,Great4Groups
Flamenco Class&Party with Spanish Dancer,4.99,229.0,Sevilla,Spain,60, English and Spanish,18,100.0,70.0,Great4Groups
Tasting Florence with a Culinary Guide,5.0,25.0,Florence,Italy,175, English and Italian,30,16.0,105.0,Great4Groups
Juggle Troubles Away in Five Minutes,5.0,31.0,Croton-on-Hudson,United States,60, English,18,30.0,375.0,Great4Groups
The Healing Harp Personalized Sessions,5.0,71.0,Ashland,United States,60, English,33,30.0,125.0,Great4Groups
"Handmade carbonara pasta, Spritz&Rossini",4.99,190.0,Milano,Italy,75, English and Italian,30,30.0,117.0,Great4Groups
Dance & Cook with Dancing Indian Chef,5.0,2.0,Berlin,Germany,60, English,17,100.0,204.0,Great4Groups
'no Spain no Game' The Fabulous Game !,4.93,2298.0,Barcelone,Spain,60, 11 languages,16,500.0,105.0,History&Culture
"Solve the Mystery Escape Room, now with Halloween Special",4.94,1629.0,Krakow,Poland,90, English,18,100.0,115.0,History&Culture
"Edinburgh's Ghosts, Murderers and Monsters",4.98,203.0,Edinburgh,United Kingdom,75, English,21,100.0,207.0,History&Culture
Fun Argentine Wine Class with Local Somm,4.99,1290.0,Buenos Aires,Argentina,60, English Spanish and Portuguese,21,100.0,220.0,History&Culture
A Spine-chilling Halloween Party for horror enthusiasts,5.0,15.0,Delhi,India,60, English,16,100.0,120.0,History&Culture
Tango Concert with Latin Grammy Nominee,4.98,1056.0,Buenos Aires,Argentina,60, English and Spanish,15,500.0,300.0,History&Culture
Interactive Indian cooking class with us,4.99,574.0,Jaipur,India,175, English,16,30.0,147.0,History&Culture
Living Culture w/ Mohawk Interpretation,4.88,17.0,Cornwall Island,Canada,60, English,10,15.0,146.0,History&Culture
Celebration of Day of the Dead in Mexico,4.95,245.0,Mexico City,Mexico,90, English Spanish and French,20,100.0,99.0,History&Culture
"Plan a Trip to Orlando, Florida & Theme Parks",5.0,3.0,Orlando,United States,45, English Spanish and Portuguese,8,5.0,20.0,History&Culture
Go On a Leopard Safari in Sri Lanka,4.95,465.0,Colombo,Sri Lanka,60, English,14,100.0,100.0,History&Culture
Christmas toys from the USSR,,,Saint Petersburg,Russia,60, English,15,10.0,71.0,History&Culture
Walk in to the Taj Mahal with a professional Tour Guide,4.81,43.0,Agra,India,60, English,10,30.0,134.0,History&Culture
A Fun Game on Italian Idioms & Culture,,,Milano,France,60, Italian English and French,0,30.0,58.0,History&Culture
Forbidden City Treasure Hunt from home for Kids and Parents,5.0,4.0,Beijing,China,60, English,13,8.0,70.0,History&Culture
Follow a Plague Doctor Through Prague,4.91,2996.0,Prague,Czech Republic,60, English,19,500.0,183.0,History&Culture
Beginning Sign Language Class,,,Los Angeles,United States,60, English,20,10.0,350.0,History&Culture
Murder Mystery Escape Room Game -perfect for Halloween,4.9,138.0,Krakow,Poland,60, English,18,100.0,115.0,History&Culture
'True vs False' Funny Historical Game,4.94,1864.0,Athens,Greece,60, English,19,500.0,221.0,History&Culture
Once Upon a Time - Read Korean Folktales,4.98,369.0,Seoul,South Korea,60, English,9,30.0,153.0,History&Culture
Cool Private Georgian Language and Culture Class with Teona,,,Tbilisi,Georgia,60, English,17,5.0,14.0,History&Culture
Explore Jaipur The Royal City of India,4.97,448.0,Jaipur,India,90, English,12,100.0,83.0,History&Culture
Māori Cultural Whanganui River Journey,,,Whanganui,New Zealand,60, English,15,30.0,764.0,History&Culture
Italian conversation with Elisabetta,5.0,1.0,Florence,Italy,60, Italian English and French,18,16.0,93.0,History&Culture
Falling in love with New Zealand,5.0,35.0,Dunedin,New Zealand,60, English and French,8,10.0,177.0,History&Culture
"Irish Village, History, Culture & Craic",4.97,1932.0,Dublin,Ireland,60, English,19,500.0,174.0,History&Culture
"Halloween Special, Harry Potter Magic in Edinburgh Tour",4.97,1125.0,Edinburgh,United Kingdom,60, English German Spanish and French,18,100.0,179.0,History&Culture
Tajmahal Virtual Tour with Local Expert,4.95,77.0,Agra,India,90, English,4,30.0,134.0,History&Culture
A Journey Through Venice and its Canals,4.97,229.0,Venice,Italy,60, English,11,30.0,115.0,History&Culture
Falling Into Fall With Sign Language,4.99,183.0,Athens,United States,60, English,20,100.0,300.0,History&Culture
Diwali Special Vegetarian Menu-Cook Indian Dishes like a Pro,5.0,29.0,Delhi,India,75, English,27,100.0,167.0,History&Culture
Happy Halloween with Caipirinha classes from Rio,4.99,355.0,Rio de Janeiro,Brazil,60, English Spanish and Portuguese,12,100.0,229.0,History&Culture
Indigenous Fashion with Expert Artisan,5.0,23.0,Havre,United States,60, English,13,15.0,100.0,History&Culture
The Rugged and Wild West Coast of New Zealand,,,Franz Josef,New Zealand,60, English,4,30.0,15.0,History&Culture
"Kenyan traditions, culture & food",,,Nairobi,Kenya,60, English,10,20.0,150.0,History&Culture
Bicycle trip to hidden gems in Tokyo,4.89,18.0,Tokyo,Japan,90, English Japanese and Chinese Simplified,5,30.0,6.0,History&Culture
Italian coffee with a Paralympic champion,5.0,15.0,,Italy,45, Italian English and Spanish,18,500.0,116.0,History&Culture
Malta Experience - Personal itinerary,5.0,6.0,L-Imsida,Malta,60, English,12,30.0,12.0,History&Culture
Learn Basic Spanish,5.0,4.0,Madison,United States,60, English,14,,,History&Culture
✨Celebrate Diwali (Festival of Lights) & all about Hinduism✨,4.97,208.0,New Delhi,India,60, English,10,30.0,160.0,History&Culture
"Celebrate Diwali (Festival Lights) and ""ॐ ( OM ) Meditation""",4.99,125.0,Delhi,India,30, English,1,30.0,47.0,History&Culture
Osaka travel guide & Learn Japanese,4.96,27.0,Osaka City,Japan,75, English,14,30.0,44.0,History&Culture
Create a Mexico City trip with Ricardo,4.97,31.0,Mexico City,Mexico,60, English and Spanish,4,100.0,4.0,History&Culture
East African Swahili village and culture,5.0,6.0,Nairobi,Kenya,60, English and Swahili,16,30.0,80.0,History&Culture
Conditioning with Capoeira (Special Carnival Edition),4.97,116.0,Rio de Janeiro,Brazil,60, Portuguese English Spanish and Italian,9,30.0,28.0,History&Culture
Learn Some Jamaican History and Dialect,5.0,1.0,Montego Bay,Jamaica,60, English,15,30.0,10.0,History&Culture
Discover Hoi An ancient town at night,5.0,47.0,Hoi An,Vietnam,60, 5 languages,14,10.0,110.0,History&Culture
Discover Japanese Obon stories and festivals in summer,,,Hanyu City,Japan,60, English and Japanese,5,10.0,18.0,History&Culture
Learn Swiss German words and phrases,5.0,6.0,Luzern,Switzerland,60, English,15,4.0,49.0,History&Culture
One day Korean class in English,5.0,3.0,Seoul,South Korea,60, Korean and English,20,,,History&Culture
Fun Italian Gestures and Language Game,4.97,237.0,Milano,Italy,60, English French and Italian,13,30.0,82.0,History&Culture
Making 1000 Origami Cranes Together,4.99,111.0,Nara,Japan,60, English,22,30.0,176.0,History&Culture
Discover the dark stories of Milan while walking its streets,,,Milan,Italy,60, English Spanish and Portuguese,23,30.0,92.0,History&Culture
Daily English for children qualified fun Australian teacher,,,Forest Hill,Australia,60, English,23,30.0,75.0,History&Culture
Feel Greece,,,Drama,United States,60, English,25,3.0,14.0,History&Culture
✨A fabulous day in Africa with a Kenyan✔️,4.96,57.0,Nairobi,Kenya,90, English,8,100.0,100.0,History&Culture
Scotland Yard- Virtual Crime Scene Investigation Experience,5.0,16.0,Norwich,United Kingdom,90, English,35,30.0,825.0,History&Culture
Harry Potter's London Virtual Tour,4.99,1195.0,London,United Kingdom,75, English,17,30.0,165.0,History&Culture
Discover the wonders of Colombia,5.0,11.0,Medellin,Colombia,75, English and Spanish,19,30.0,133.0,History&Culture
Egypt through Local Eyes,4.82,60.0,Luxor City,Egypt,45, English,5,20.0,25.0,History&Culture
"Hallyu Campus Tour, Korean Universities",,,Seoul,South Korea,60, English,7,30.0,13.0,History&Culture
Egyptian family day,4.98,96.0,Luxor City,Egypt,45, English Arabic and Italian,11,100.0,60.0,History&Culture
Discover Buenos Aires' Street Art & Sketch With a Specialist,4.97,739.0,Buenos Aires,Argentina,60, English and Spanish,15,500.0,150.0,History&Culture
Stories from London's Gruesome History,4.95,192.0,London,United Kingdom,60, English,14,30.0,165.0,History&Culture
Shadows in the Dark- A Spooky Magic Show,5.0,6.0,Singapore,Singapore,60, English,26,30.0,371.0,History&Culture
Chinese Home cooking and Language Learning,5.0,26.0,Bangkok,Thailand,90, English,16,30.0,150.0,History&Culture
Explore the Kingdom of Thieves - Tallinn,5.0,51.0,Tallinn,Estonia,90, English,14,30.0,209.0,History&Culture
Friendly chat over a cold beer,5.0,1.0,Mauricijus,Mauritius,60, English,7,6.0,40.0,History&Culture
Plan a perfect Los Angeles Getaway,5.0,4.0,Los Angeles,United States,45, English,5,6.0,50.0,History&Culture
Through the eyes of a foreign local,,,Seoul,South Korea,60, English,10,30.0,85.0,History&Culture
An Evening with a Flamenco Composer,4.92,375.0,Madrid,Spain,75, English and Spanish,13,100.0,301.0,History&Culture
Diwali Special - The Wonder That Is India!,4.99,196.0,Bengaluru,India,60, English,13,100.0,127.0,History&Culture
A Party in Paris with a Parisian,4.94,1547.0,Paris,France,60, English,19,100.0,186.0,History&Culture
Explore Russia with a local guide,,,Saint Petersburg,Russia,60, English,15,10.0,43.0,History&Culture
Storytelling - Cu Chi Tunnels,4.98,50.0,Ho Chi Minh,Vietnam,60, English,6,10.0,41.0,History&Culture
Hanoi History Recap,,,Hanoi,Vietnam,60, English,7,10.0,53.0,History&Culture
"Uncover Pompeii with an Archaeologist, virtual holiday trip",4.98,1010.0,Pompei,Italy,60, 5 languages,18,500.0,174.0,History&Culture
Sistine Chapel Behind The Scenes Tour,5.0,4.0,Rome,Italy,60, English and Italian,35,30.0,145.0,History&Culture
Jack the Ripper-East London in 1888,4.99,458.0,London,United Kingdom,90, English,14,30.0,124.0,History&Culture
"New Zealand's Story-Beautiful, friendly, innovative & quirky",5.0,11.0,Tokoroa,New Zealand,90, English,9,20.0,85.0,History&Culture
Sahara show and tell with a nomad,4.93,14.0,Zagora,Morocco,60, English and French,13,15.0,23.0,History&Culture
Crime and Handwriting Analysis,4.98,40.0,Greater London,United Kingdom,60, English,27,100.0,110.0,History&Culture
'Go for Gold' How Olympians Set and Achieve Big Goals,4.93,121.0,,Bulgaria,60, English,16,500.0,597.0,History&Culture
"The Gorgeousity - a playful, art-making, musical adventure",,,Philadelphia,United States,90, English,15,,,History&Culture
History & Culture of Transwoman-Thailand,4.93,71.0,Khet Watthana,Thailand,75, English and Thai,9,30.0,90.0,History&Culture
Live in the streets of Edinburgh,5.0,10.0,Edinburgh,United Kingdom,60, English,18,100.0,179.0,History&Culture
A Live Walk Around Bergen Norway During the Day or Night,4.99,159.0,Bergen,Norway,60, English,19,30.0,36.0,History&Culture
Nashville Trip Planning with Christy,5.0,28.0,Nashville,United States,30, English,12,30.0,29.0,History&Culture
Scotland Yard Fingerprint Masterclass,5.0,31.0,London,United Kingdom,60, English,31,30.0,688.0,History&Culture
"Slavery and resistance in the Cape Colony, South Africa",,,Cape Town,South Africa,90, English,14,,,History&Culture
Explore The Beauty Of Body Sign Language,4.96,51.0,Berlin,Germany,60, English,29,30.0,387.0,History&Culture
Tango Intro by Argentinian Experts,4.99,446.0,Caba,Argentina,60, English Spanish French and Portuguese,15,30.0,50.0,History&Culture
Pyramids and museum virtual tour,,,Luxor City,Egypt,45, English,25,30.0,50.0,History&Culture
"True or false, So Funny Facts about Peru",5.0,5.0,Lima,Peru,60, English and Spanish,8,30.0,11.0,History&Culture
Tango Through the History of Argentina,4.93,221.0,Buenos Aires,Argentina,60, English Spanish and Portuguese,10,100.0,39.0,History&Culture
Origami Fun with a Japanese festive Instructor,4.98,50.0,Kamagaya City,Japan,60, English and Japanese,16,100.0,141.0,History&Culture
"Georgian culture, legends & traditions",4.98,97.0,Tbilisi,Georgia,75, English,14,100.0,125.0,History&Culture
Herstory of witches,4.94,16.0,Paris,France,60, English and French,34,30.0,464.0,History&Culture
Outlander's Inverness - Literary History,5.0,5.0,Inverness,United Kingdom,60, English,14,30.0,69.0,History&Culture
Discover Gay Life in Russia,4.98,103.0,Saint Petersburg,Russia,75, English,22,30.0,212.0,History&Culture
Dance with a Jamaican,4.97,147.0,Negril,Jamaica,60, English,12,30.0,10.0,History&Culture
Harry Potter and the City of Porto,5.0,18.0,Porto,Portugal,75, English Spanish and Portuguese,7,15.0,13.0,History&Culture
Learn and Train with Samurai in Tokyo,4.94,162.0,Tokyo,Japan,60, English and Japanese,18,30.0,176.0,History&Culture
The Life of Pope Francis in Argentina,5.0,1.0,Buenos Aires,Argentina,45, 5 languages,12,30.0,100.0,History&Culture
Sneak peek to Kenyan Culture & Tradition,4.95,376.0,Nairobi,Kenya,60, English,13,30.0,130.0,History&Culture
Zoom around panoramic Amsterdam,5.0,9.0,Amsterdam,Netherlands,60, English and German,14,30.0,49.0,History&Culture
Showing Korea in the small cities,,,Seoul,South Korea,60, English,10,8.0,85.0,History&Culture
